release_date,developer,price
2018-01-04,Kotoshiro,4.99
2018-01-04,Secret Level SRL,Free To Play
2017-07-24,Poolians.com,Free to Play
2017-12-07,彼岸领域,0.99
,,2.99
2018-01-04,Trickjump Games Ltd,3.99
2018-01-04,Poppermost Productions,9.99
2018-01-04,Poppermost Productions,18.99
2018-01-04,Poppermost Productions,29.99
2018-01-04,RewindApp,
Soon..,Qucheza,
,,Free
2018-01-04,Stegalosaurus Game Development,10.99
2018-01-04,Copperpick Studio,3.99
2018-01-03,Ghulam Jewel,2.99
2018-01-03,Apillo,1.59
2018-01-03,Poppermost Productions,14.99
2018-01-03,Apillo,1.99
2018-01-03,Poppermost Productions,59.99
,,4.99
,,2.99
2018-01-03,Tero Lunkka,0.99
,,0.99
2017-12-22,FrozenPepper,2.99
2017-12-23,FrozenPepper,2.99
2018-01-03,Casey Labrack,4.99
2018-01-03,,4.99
1997-06-30,Stainless Games Ltd,9.99
1998-11-08,Valve,9.99
2016-11-25,dev4play,1.99
,,3.99
2018-01-01,BlueLine Games,
2018-01-01,Games by Brundle,
2018-01-01,ETGgames,0.99
2018-01-01,ProjectorGames,
2017-12-30,Unknown Indie Devs,
,,
2018-01-01,The Commander,8.99
2018-01-01,"lalalaZero,Urbanoff",0.99
2006-07-06,Strategy First,6.99
2006-07-06,Strategy First,6.99
2006-07-11,Outerlight Ltd.,9.99
,Zachary M Thomas,
2017,Breakout Studio,
Beta测试已开启,"zha7,Phaedruns,Yingke Wu",
,,
2017-12-29,Ultraint,7.99
2018-03-30,Seth Albertus,
2017-12-29,TPM.CO SOFT WORKS,10.99
2017-12-29,Wonderbox Games,9.99
2017-12-29,Wonderbox Games,9.99
,,29.99
2017-12-30,Mad Unicorn Games,1.99
,,
2017-12-29,Emanon Studios,0.99
2005-08-09,GlyphX Games,9.99
2006-09-29,Introversion Software,9.99
2006-11-20,Outerlight Ltd.,9.99
2006-11-29,Facepunch Studios,9.99
2006-11-24,SimBin,39.99
2006-12-14,Unknown Worlds Entertainment,Free
2006-12-19,"CINEMAX, s.r.o.",4.99
2003-08-23,Sick Puppies,4.99
2006-12-21,Deepred,4.99
2006-04-17,Funcom,19.99
2006-08-01,Bugbear Entertainment,9.99
2005-07-12,Bugbear Entertainment,7.49
2007-06-26,"CAPCOM Co., Ltd.",14.99
2006-07-24,"FireFly Studios,Firaxis Games",9.99
2002-11-12,Arkane Studios,4.99
2000-11-17,Funcom,9.99
2006-07-24,Firaxis Games,4.99
2003-10-23,PopTop,9.99
2006-10-16,"Firaxis Games,Feral Interactive (Mac)",9.99
,,19.99
1998-10-31,PopTop,4.99
2007-06-01,Elephant Games,4.99
1995-04-01,"MicroProse Software, Inc",4.99
2007-06-05,"Crystal Dynamics,Feral Interactive (Mac)",8.99
2006-05-23,"CAPCOM Co., Ltd.",19.99
2006-10-17,Telltale Games,19.99
1996-06-17,id Software,4.99
2007-06-29,Freegamer,
2006-12-20,Telltale Games,19.99
1995-04-30,id Software,4.99
1995-06-01,id Software,14.99
1994-05-05,id Software,4.99
1994-08-03,id Software,4.99
2001-11-20,Gray Matter Studios,4.99
1997-02-28,Ritual Entertainment,2.99
1993-10-10,id Software,2.99
2003-09-09,Terminal Reality,9.99
2007-08-03,Rogue Entertainment,2.99
2007-05-31,id Software,4.99
2007-03-20,Metamorf,4.99
2006-01-01,Relic Entertainment,12.99
2007-08-21,"2K Boston,2K Australia",19.99
2006-01-01,Relic Entertainment,12.99
2006-10-09,Relic Entertainment,12.99
2004-09-22,The Creative Assembly,9.99
2006-06-26,The Creative Assembly,4.99
2007-12-14,Big Fish Games,6.99
1998-06-30,Rockstar North,
1999-10-25,Rockstar North,
2004-04-20,Rockstar North,9.99
2003-07-01,Rockstar San Diego,9.99
2003-10-14,Remedy Entertainment,9.99
2006-04-07,Crystal Dynamics,6.99
2001-07-25,Remedy Entertainment,9.99
2008-10-28,EA Los Angeles,19.99
2007-10-10,Infinite Interactive,9.99
2007-10-23,Momentum Digital Media Technologies,9.99
2007-08-01,"Gamebryo,Virtual Playground",9.99
2007-09-01,SCS Software,9.99
2007-12-03,SCS Software,9.99
2008-02-08,Pivotal Games,5.99
2007-05-08,Bohemia Interactive,7.99
2006-02-21,,9.99
2006-05-02,Spellbound,9.99
2007-10-16,Haggard Games,4.99
2006-05-30,Eugen Systems,2.99
2006-10-26,"Frontier,Aspyr (Mac)",19.99
2005-03-14,Eugen Systems,2.99
2003-02-03,"Epic Games, Inc.",14.99
1998-04-30,"Epic Games, Inc.",9.99
2008-03-21,Sanzaru Games,4.99
2003-02-18,Ubisoft,9.99
2004-03-23,Crytek Studios,9.99
2000-10-25,"Epic Games, Inc.",9.99
2006-12-12,Ubisoft Montreal,9.99
2005-03-15,Ubisoft,9.99
2008-05-28,Last Day of Work,9.99
2008-06-04,SpinTop Games,4.99
2008-06-10,MumboJumbo,9.99
2008-06-10,MumboJumbo,9.99
2008-06-10,MumboJumbo,9.99
2008-06-10,MumboJumbo,9.99
2005-12-08,MumboJumbo,9.99
2007-11-13,MumboJumbo,9.99
2007-11-13,Ubisoft,9.99
2005-12-08,MumboJumbo,9.99
2007-03-27,"Ubisoft Bulgaria,Ubisoft Montpellier",9.99
2007-03-20,Ubisoft Romania,9.99
2006-12-15,1C: Maddox Games,9.99
2008-03-24,Ubisoft Romania,9.99
2005-09-15,Telltale Games,9.99
2005-07-02,"Merscom,Babylon",9.99
2006-04-12,Telltale Games,9.99
2008-07-29,BigAnt Studios,9.99
2008-01-08,Zemnott,9.99
2007-07-02,Gabriel Entertainment,9.99
2008-01-12,Zemnott,9.99
2007-08-08,Zemnott,9.99
2008-05-20,Frogwares,9.99
2008-07-08,Eurocom,
2008-04-14,Frogwares,9.99
2008-07-31,"Luc Bernard,SilverSphereStudios",4.99
2007-05-25,Lesta Studio,7.99
2008-08-21,Dialogue Design,4.99
2008-08-19,Bugbear Entertainment,19.99
1998-11-17,Oddworld Inhabitants,2.99
1997-12-12,Oddworld Inhabitants,2.99
2008-09-01,SimBin,7.99
2001-04-19,"MicroProse Software, Inc",4.99
1997-07-15,"MicroProse Software, Inc",4.99
1993-12-31,"MicroProse Software, Inc",4.99
2008-09-15,GSC Game World,9.99
2008-09-17,Crytek,19.99
2007-11-13,Crytek,19.99
1998-06-15,"MicroProse Software, Inc",4.99
2008-09-16,CD PROJEKT RED,9.99
2008-09-19,Introversion Software,9.99
2008-10-22,SimBin,2.99
2008-08-28,"Tilted Mill Entertainment, Inc.",2.49
2008-09-23,Firaxis Games,19.99
2003-03-18,"Red Storm Entertainment,Ubisoft Montreal",9.99
2008-09-29,Traveller's Tales,19.99
2008-07-18,Monte Cristo,9.99
2008-09-30,"Tilted Mill Entertainment, Inc.",9.99
2008-10-08,Gearbox Software,9.99
2008-08-31,Dark Castle Software,4.99
2006-12-01,Techland,4.99
2006-11-14,Nival,9.99
2005-10-04,Gearbox Software,9.99
2007-10-16,Nival,9.99
2008-04-18,Blue Byte,19.99
2007-09-25,Ubisoft,9.99
2002-05-31,Red Storm Entertainment,9.99
2008-10-15,"PopCap Games, Inc.",4.99
2008-10-13,2D BOY,9.99
2008-10-16,Egosoft,15.99
2008-10-17,Sandstorm Productions,Free
2008-10-20,Shorebound Studios,4.99
2008-10-21,Perpetual FX Creative,19.99
2008-10-21,Rockstar New England,14.99
2008-10-22,Ubisoft Montreal,9.99
2008-10-23,Meridian4,4.99
2009-01-01,RailSimulator.com,4.99
2009-01-01,RailSimulator.com,4.99
