id,genres,release_date
761140.0,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",2018-01-04
643980.0,"['Free to Play', 'Indie', 'RPG', 'Strategy']",2018-01-04
670290.0,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",2017-07-24
767400.0,"['Action', 'Adventure', 'Casual']",2017-12-07
773570.0,,2016-05-17
772540.0,"['Action', 'Adventure', 'Simulation']",2018-01-04
774276.0,"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018-01-04
774277.0,"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018-01-04
774278.0,"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018-01-04
768800.0,"['Casual', 'Indie', 'Racing', 'Simulation']",2018-01-04
768570.0,"['Action', 'Indie', 'Simulation', 'Early Access']",2016-05-17
724910.0,,2016-05-17
770380.0,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",2018-01-04
768880.0,"['Casual', 'Indie']",2018-01-04
765320.0,"['Casual', 'Indie', 'Simulation']",2018-01-03
773650.0,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",2018-01-03
774271.0,"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018-01-03
773690.0,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",2018-01-03
774279.0,"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018-01-03
772590.0,,2016-05-17
640250.0,,2016-05-17
768060.0,"['Action', 'Adventure', 'Indie']",2018-01-03
711440.0,,2016-05-17
775880.0,"['Racing', 'Simulation', 'Sports']",2017-12-22
775881.0,"['Racing', 'Simulation', 'Sports']",2017-12-23
653960.0,"['Action', 'Indie']",2018-01-03
777910.0,,2018-01-03
282010.0,"['Action', 'Indie', 'Racing']",1997-06-30
70.0,['Action'],1998-11-08
752360.0,"['Action', 'Indie', 'RPG']",2016-11-25
594200.0,,2016-05-17
520680.0,"['Casual', 'Indie', 'Strategy']",2018-01-01
690410.0,['Action'],2018-01-01
766850.0,"['Casual', 'Indie', 'Simulation']",2018-01-01
413120.0,"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']",2018-01-01
773120.0,"['Adventure', 'Casual', 'Indie']",2017-12-30
680970.0,,2016-05-17
754360.0,"['Action', 'Adventure', 'RPG']",2018-01-01
716110.0,"['Adventure', 'Casual', 'Indie', 'RPG']",2018-01-01
1640.0,['Strategy'],2006-07-06
1630.0,['Strategy'],2006-07-06
2400.0,"['Action', 'Indie', 'RPG']",2006-07-11
662570.0,['Strategy'],2016-05-17
381620.0,"['Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",2016-05-17
714020.0,"['Adventure', 'Free to Play', 'RPG', 'Early Access']",2016-05-17
541930.0,,2016-05-17
759920.0,"['Action', 'Indie', 'Strategy', 'Early Access']",2017-12-29
659780.0,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",2018-03-30
603280.0,"['Action', 'Adventure', 'Indie', 'RPG']",2017-12-29
753110.0,"['Casual', 'Strategy', 'Early Access']",2017-12-29
753100.0,"['Action', 'Indie']",2017-12-29
769350.0,,2016-05-17
764280.0,"['Action', 'Adventure', 'Casual']",2017-12-30
374970.0,,2016-05-17
758550.0,"['Adventure', 'Casual', 'Free to Play', 'Indie']",2017-12-29
3800.0,['Action'],2005-08-09
1520.0,"['Indie', 'Strategy']",2006-09-29
2420.0,"['Action', 'Indie', 'RPG']",2006-11-20
4000.0,"['Indie', 'Simulation']",2006-11-29
4230.0,['Racing'],2006-11-24
4900.0,"['Casual', 'Indie']",2006-12-14
2520.0,"['Casual', 'Indie']",2006-12-19
6200.0,['Strategy'],2003-08-23
6210.0,['Strategy'],2006-12-21
6300.0,"['Adventure', 'RPG']",2006-04-17
2990.0,['Racing'],2006-08-01
6220.0,['Racing'],2005-07-12
6510.0,"['Action', 'Adventure']",2007-06-26
3980.0,['Strategy'],2006-07-24
1700.0,['RPG'],2002-11-12
6310.0,"['Action', 'Adventure', 'RPG']",2000-11-17
3990.0,['Strategy'],2006-07-24
7610.0,['Strategy'],2003-10-23
7600.0,['Strategy'],2006-10-16
,,2016-05-17
7620.0,['Strategy'],1998-10-31
2540.0,"['Casual', 'Indie']",2007-06-01
7650.0,['Strategy'],1995-04-01
8000.0,"['Action', 'Adventure']",2007-06-05
6550.0,['Action'],2006-05-23
8200.0,"['Action', 'Adventure']",2006-10-17
2290.0,['Action'],1996-06-17
2570.0,"['Indie', 'RPG']",2007-06-29
8210.0,"['Action', 'Adventure']",2006-12-20
2280.0,['Action'],1995-04-30
9160.0,['Action'],1995-06-01
2300.0,['Action'],1994-05-05
2270.0,['Action'],1994-08-03
9010.0,['Action'],2001-11-20
9040.0,['Action'],1997-02-28
9000.0,['Action'],1993-10-10
3810.0,['Action'],2003-09-09
9030.0,['Action'],2007-08-03
2310.0,['Action'],2007-05-31
3230.0,['Strategy'],2007-03-20
9310.0,['Strategy'],2006-01-01
7670.0,"['Action', 'RPG']",2007-08-21
4570.0,['Strategy'],2006-01-01
4580.0,['Strategy'],2006-10-09
4760.0,['Strategy'],2004-09-22
4770.0,['Strategy'],2006-06-26
50970.0,['Casual'],2007-12-14
12170.0,['Action'],1998-06-30
12180.0,['Action'],1999-10-25
12130.0,['Action'],2004-04-20
12160.0,['Racing'],2003-07-01
12150.0,['Action'],2003-10-14
7000.0,"['Action', 'Adventure']",2006-04-07
12140.0,['Action'],2001-07-25
17480.0,['Strategy'],2008-10-28
12500.0,['Casual'],2007-10-10
12310.0,"['RPG', 'Casual', 'Adventure']",2007-10-23
12510.0,['Strategy'],2007-08-01
12530.0,"['Action', 'Adventure', 'Strategy']",2007-09-01
12520.0,['Racing'],2007-12-03
8100.0,['Action'],2008-02-08
2780.0,['Action'],2007-05-08
9730.0,['Simulation'],2006-02-21
9710.0,['Action'],2006-05-02
9800.0,"['Action', 'Adventure']",2007-10-16
9760.0,['Action'],2006-05-30
2700.0,"['Simulation', 'Strategy']",2006-10-26
2710.0,['Action'],2005-03-14
13200.0,['Action'],2003-02-03
13250.0,['Action'],1998-04-30
13000.0,"['Casual', 'Indie']",2008-03-21
13560.0,['Action'],2003-02-18
13520.0,['Action'],2004-03-23
13240.0,['Action'],2000-10-25
13540.0,['Action'],2006-12-12
15210.0,['Simulation'],2005-03-15
16180.0,"['Casual', 'Simulation']",2008-05-28
3520.0,['Casual'],2008-06-04
15970.0,['Casual'],2008-06-10
15950.0,['Casual'],2008-06-10
15960.0,['Casual'],2008-06-10
15900.0,['Casual'],2008-06-10
15910.0,['Casual'],2005-12-08
15930.0,['Casual'],2007-11-13
15160.0,['Simulation'],2007-11-13
15920.0,['Casual'],2005-12-08
15080.0,"['Action', 'Adventure']",2007-03-27
15200.0,['Simulation'],2007-03-20
15320.0,['Simulation'],2006-12-15
15240.0,['Simulation'],2008-03-24
8310.0,['Adventure'],2005-09-15
12600.0,['Racing'],2005-07-02
8320.0,['Adventure'],2006-04-12
12590.0,['Racing'],2008-07-29
12580.0,,2008-01-08
12560.0,['Simulation'],2007-07-02
12570.0,,2008-01-12
12540.0,['Casual'],2007-08-08
11050.0,['Adventure'],2008-05-20
10520.0,['Sports'],2008-07-08
11040.0,"['Adventure', 'RPG']",2008-04-14
19500.0,"['Adventure', 'Indie']",2008-07-31
11260.0,"['Simulation', 'Strategy']",2007-05-25
19200.0,"['Action', 'Indie']",2008-08-21
12360.0,['Racing'],2008-08-19
15710.0,['Adventure'],1998-11-17
15700.0,['Adventure'],1997-12-12
8660.0,['Racing'],2008-09-01
7770.0,['Strategy'],2001-04-19
7660.0,['Strategy'],1997-07-15
7760.0,['Strategy'],1993-12-31
20510.0,"['Action', 'RPG']",2008-09-15
17330.0,['Action'],2008-09-17
17300.0,['Action'],2007-11-13
7730.0,['Strategy'],1998-06-15
20900.0,"['Action', 'RPG']",2008-09-16
1530.0,['Indie'],2008-09-19
8690.0,['Racing'],2008-10-22
17120.0,"['Strategy', 'Simulation']",2008-08-28
16810.0,['Strategy'],2008-09-23
19830.0,['Action'],2003-03-18
21000.0,"['Action', 'Adventure']",2008-09-29
4460.0,"['Simulation', 'Strategy']",2008-07-18
17140.0,"['RPG', 'Strategy']",2008-09-30
15390.0,['Action'],2008-10-08
21300.0,"['Indie', 'Casual']",2008-08-31
3050.0,['Racing'],2006-12-01
