,publisher,genres,app_name,title,url,release_date,tags,reviews_url,specs,price,early_access,id,developer
0,PlayStation Mobile Inc.,['Action'],HELLDIVERS™ - Specialist Pack,HELLDIVERS™ - Specialist Pack,http://store.steampowered.com/app/395237/HELLDIVERS__Specialist_Pack/,2015-12-07,['Action'],http://steamcommunity.com/app/395237/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",2.99,False,395237.0,Arrowhead Game Studios
1,,"['Adventure', 'Indie', 'Strategy']",White Noise 2 - Lilith,White Noise 2 - Lilith,http://store.steampowered.com/app/691441/White_Noise_2__Lilith/,2017-10-24,"['Strategy', 'Adventure', 'Indie']",http://steamcommunity.com/app/691441/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",1.99,False,691441.0,Milkstone Studios
2,Hyper Hippo Games,"['Casual', 'Free to Play', 'Indie', 'Simulation']",AdVenture Capitalist - Savvy Investor Bundle,AdVenture Capitalist - Savvy Investor Bundle,http://store.steampowered.com/app/471650/AdVenture_Capitalist__Savvy_Investor_Bundle/,2016-05-17,"['Indie', 'Casual', 'Simulation', 'Free to Play', 'Clicker']",http://steamcommunity.com/app/471650/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud']",9.99,False,471650.0,Hyper Hippo Games
3,,"['Casual', 'Simulation']",Rocksmith® 2014 – Rise Against - “Help Is On The Way”,Rocksmith® 2014 – Rise Against - “Help Is On The Way”,http://store.steampowered.com/app/436613/Rocksmith_2014__Rise_Against__Help_Is_On_The_Way/,2016-05-03,"['Casual', 'Simulation']",http://steamcommunity.com/app/436613/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",2.99,False,436613.0,Ubisoft - San Francisco
4,Yokcos,"['Action', 'Indie']",Desperate Times,Desperate Times,http://store.steampowered.com/app/513920/Desperate_Times/,2016-09-30,"['Indie', 'Action', 'Bullet Hell']",http://steamcommunity.com/app/513920/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",4.99,False,513920.0,Yokcos
5,Daedalic Entertainment,"['Adventure', 'Indie']",1954 Alcatraz,1954 Alcatraz,http://store.steampowered.com/app/255280/1954_Alcatraz/,2014-03-11,"['Adventure', 'Point & Click', 'Indie', 'Singleplayer', 'Puzzle', 'Crime', 'Female Protagonist']",http://steamcommunity.com/app/255280/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",9.99,False,255280.0,"Daedalic Entertainment,Irresponsible Games"
6,Galvanic Games,"['Action', 'Indie']",Gurgamoth,Gurgamoth,http://store.steampowered.com/app/418360/Gurgamoth/,2016-02-16,"['Action', 'Indie', 'Local Multiplayer', 'Competitive', 'Fighting']",http://steamcommunity.com/app/418360/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Local Multi-Player', 'Full controller support', 'Steam Trading Cards']",4.99,False,418360.0,Galvanic Games
7,Fruitbat Factory,"['Adventure', 'Indie', 'RPG']",99 Spirits - Art Book + Music Collection,99 Spirits - Art Book + Music Collection,http://store.steampowered.com/app/262141/99_Spirits__Art_Book__Music_Collection/,2013-11-12,"['RPG', 'Indie', 'Adventure']",http://steamcommunity.com/app/262141/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Downloadable Content']",14.99,False,262141.0,TORaIKI
8,Activision,"['Action', 'Adventure']",Call of Duty®: Infinite Warfare - Digital Deluxe Edition,Call of Duty®: Infinite Warfare - Digital Deluxe Edition,http://store.steampowered.com/app/517831/Call_of_Duty_Infinite_Warfare__Digital_Deluxe_Edition/,Nov 2016,"['Action', 'Adventure']",http://steamcommunity.com/app/517831/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Online Multi-Player', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'Full controller support']",99.99,False,517831.0,Infinity Ward
9,"The Fighter Collection, Eagle Dynamics SA",['Simulation'],A-10C: Advanced Aircraft Training Qualification Campaign,A-10C: Advanced Aircraft Training Qualification Campaign,http://store.steampowered.com/app/555530/A10C_Advanced_Aircraft_Training_Qualification_Campaign/,2017-02-23,['Simulation'],http://steamcommunity.com/app/555530/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Downloadable Content', 'Captions available', 'Partial Controller Support']",9.99,False,555530.0,Maple Flag
